,effectivity,deep sleep,quality sleep,time asleep,time awake,exercise,set #,reps,weight,bodyweight,date
0,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,barbell hacksquat,1.0,6.0,90.0,76.205,2021-12-29
1,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,barbell hacksquat,2.0,6.0,90.0,76.205,2021-12-29
2,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,barbell hacksquat,3.0,5.0,90.0,76.205,2021-12-29
3,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,barbell hacksquat,4.0,5.0,90.0,76.205,2021-12-29
4,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,hyperextensions,1.0,36.0,0.0,76.205,2021-12-29
5,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,hyperextensions,2.0,35.0,0.0,76.205,2021-12-29
6,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,hyperextensions,3.0,32.0,0.0,76.205,2021-12-29
7,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,romanian deadlifts,1.0,16.0,80.0,76.205,2021-12-29
8,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,romanian deadlifts,2.0,15.0,80.0,76.205,2021-12-29
9,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,romanian deadlifts,3.0,16.0,70.0,76.205,2021-12-29
10,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,romanian deadlifts,4.0,16.0,70.0,76.205,2021-12-29
11,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,reverse nordics,1.0,16.0,0.0,76.205,2021-12-29
12,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,reverse nordics,2.0,22.0,0.0,76.205,2021-12-29
13,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,reverse nordics,3.0,12.0,0.0,76.205,2021-12-29
14,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,tibialis raise,1.0,18.0,0.0,76.205,2021-12-29
15,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,tibialis raise,2.0,14.0,0.0,76.205,2021-12-29
16,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0,tibialis raise,3.0,12.0,0.0,76.205,2021-12-29
18,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,barbell curls,1.0,11.0,35.0,76.9,2021-12-31
19,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,barbell curls,2.0,9.0,35.0,76.9,2021-12-31
20,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,barbell curls,3.0,9.0,35.0,76.9,2021-12-31
21,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,decline push ups,1.0,8.0,0.0,76.9,2021-12-31
22,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,decline push ups,2.0,6.0,0.0,76.9,2021-12-31
23,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,decline push ups,3.0,6.0,0.0,76.9,2021-12-31
24,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,decline push ups,4.0,5.0,0.0,76.9,2021-12-31
25,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,side lateral,1.0,16.0,10.0,76.9,2021-12-31
26,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,side lateral,2.0,16.0,10.0,76.9,2021-12-31
27,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,side lateral,3.0,16.0,10.0,76.9,2021-12-31
28,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,push ups,1.0,5.0,20.0,76.9,2021-12-31
29,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,push ups,2.0,5.0,20.0,76.9,2021-12-31
30,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,push ups,3.0,5.0,17.5,76.9,2021-12-31
31,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,push ups,4.0,5.0,15.0,76.9,2021-12-31
32,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,wide grip rows,1.0,15.0,30.0,76.9,2021-12-31
33,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,wide grip rows,2.0,18.0,30.0,76.9,2021-12-31
34,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0,wide grip rows,3.0,16.0,30.0,76.9,2021-12-31
36,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,atg split squats,1.0,10.0,20.0,76.35,2022-01-02
37,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,atg split squats,2.0,8.0,20.0,76.35,2022-01-02
38,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,atg split squats,3.0,7.0,20.0,76.35,2022-01-02
39,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,atg split squats,4.0,7.0,20.0,76.35,2022-01-02
40,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,hamstring curls,1.0,16.0,5.0,76.35,2022-01-02
41,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,hamstring curls,2.0,12.0,5.0,76.35,2022-01-02
42,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,hamstring curls,3.0,12.0,5.0,76.35,2022-01-02
43,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,sumo dl,1.0,5.0,95.0,76.35,2022-01-02
44,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,sumo dl,2.0,5.0,95.0,76.35,2022-01-02
45,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,sumo dl,3.0,5.0,90.0,76.35,2022-01-02
46,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,sumo dl,4.0,5.0,90.0,76.35,2022-01-02
47,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,lunges,1.0,26.0,0.0,76.35,2022-01-02
48,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,lunges,2.0,24.0,0.0,76.35,2022-01-02
49,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0,lunges,3.0,24.0,0.0,76.35,2022-01-02
51,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,db shoulder press,1.0,8.0,24.75,75.075,2022-01-04
52,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,db shoulder press,2.0,6.5,24.75,75.075,2022-01-04
53,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,db shoulder press,3.0,7.0,22.25,75.075,2022-01-04
54,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,db shoulder press,4.0,2.5,9.75,75.075,2022-01-04
55,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,straight arm pulldown,1.0,9.0,20.0,75.075,2022-01-04
56,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,straight arm pulldown,2.0,16.0,15.0,75.075,2022-01-04
57,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,straight arm pulldown,3.0,15.0,15.0,75.075,2022-01-04
58,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,chin ups,1.0,6.0,15.0,75.075,2022-01-04
59,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,chin ups,2.0,5.0,12.5,75.075,2022-01-04
60,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,chin ups,3.0,5.0,10.0,75.075,2022-01-04
61,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0,chin ups,4.0,4.0,10.0,75.075,2022-01-04
63,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,barbell hacksquat,1.0,5.0,95.0,76.815,2022-01-06
64,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,barbell hacksquat,2.0,5.0,95.0,76.815,2022-01-06
65,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,barbell hacksquat,3.0,5.0,95.0,76.815,2022-01-06
66,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,barbell hacksquat,4.0,5.0,95.0,76.815,2022-01-06
67,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,nordic curls,1.0,7.0,0.0,76.815,2022-01-06
68,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,nordic curls,2.0,6.0,0.0,76.815,2022-01-06
69,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,nordic curls,3.0,5.0,0.0,76.815,2022-01-06
70,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,romanian deadlifts,1.0,16.0,75.0,76.815,2022-01-06
71,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,romanian deadlifts,2.0,16.0,80.0,76.815,2022-01-06
72,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,romanian deadlifts,3.0,16.0,80.0,76.815,2022-01-06
73,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,romanian deadlifts,4.0,14.0,80.0,76.815,2022-01-06
74,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,reverse nordics,1.0,12.0,0.0,76.815,2022-01-06
75,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,reverse nordics,2.0,10.0,0.0,76.815,2022-01-06
76,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0,reverse nordics,3.0,10.0,0.0,76.815,2022-01-06
78,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,barbell curls,1.0,10.0,37.5,75.74333333333334,2022-01-08
79,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,barbell curls,2.0,8.0,37.5,75.74333333333334,2022-01-08
80,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,barbell curls,3.0,7.0,37.5,75.74333333333334,2022-01-08
81,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,decline push ups,1.0,9.0,0.0,75.74333333333334,2022-01-08
82,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,decline push ups,2.0,8.0,0.0,75.74333333333334,2022-01-08
83,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,decline push ups,3.0,7.0,0.0,75.74333333333334,2022-01-08
84,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,decline push ups,4.0,6.0,0.0,75.74333333333334,2022-01-08
85,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,side lateral,1.0,10.0,3.75,75.74333333333334,2022-01-08
86,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,side lateral,2.0,6.0,3.75,75.74333333333334,2022-01-08
87,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,side lateral,3.0,10.0,0.0,75.74333333333334,2022-01-08
88,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,straight arm pulldown,1.0,13.0,15.0,75.74333333333334,2022-01-08
89,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,straight arm pulldown,2.0,12.0,15.0,75.74333333333334,2022-01-08
90,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,straight arm pulldown,3.0,10.0,15.0,75.74333333333334,2022-01-08
91,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,push ups,1.0,5.0,20.0,75.74333333333334,2022-01-08
92,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,push ups,2.0,4.0,20.0,75.74333333333334,2022-01-08
93,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,push ups,3.0,4.0,17.5,75.74333333333334,2022-01-08
94,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,push ups,4.0,5.0,15.0,75.74333333333334,2022-01-08
95,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,wide grip rows,1.0,15.0,40.0,75.74333333333334,2022-01-08
96,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,wide grip rows,2.0,12.0,35.0,75.74333333333334,2022-01-08
97,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0,wide grip rows,3.0,15.0,30.0,75.74333333333334,2022-01-08
99,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,atg split squats,1.0,11.0,20.0,76.36,2022-01-10
100,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,atg split squats,2.0,9.0,20.0,76.36,2022-01-10
101,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,atg split squats,3.0,7.0,20.0,76.36,2022-01-10
102,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,atg split squats,4.0,7.0,20.0,76.36,2022-01-10
103,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,hamstring curls,1.0,7.0,10.0,76.36,2022-01-10
104,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,hamstring curls,2.0,13.0,5.0,76.36,2022-01-10
105,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,hamstring curls,3.0,11.0,5.0,76.36,2022-01-10
106,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,sissy squats,1.0,6.0,0.0,76.36,2022-01-10
107,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,sissy squats,2.0,6.0,0.0,76.36,2022-01-10
108,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,sissy squats,3.0,6.0,0.0,76.36,2022-01-10
109,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,sumo dl,1.0,4.0,100.0,76.36,2022-01-10
110,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,sumo dl,2.0,6.0,95.0,76.36,2022-01-10
111,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,sumo dl,3.0,6.0,95.0,76.36,2022-01-10
112,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0,sumo dl,4.0,6.0,95.0,76.36,2022-01-10
114,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,db shoulder press,1.0,8.0,19.5,76.18,2022-01-12
115,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,db shoulder press,2.0,7.0,19.5,76.18,2022-01-12
116,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,db shoulder press,3.0,5.0,19.5,76.18,2022-01-12
117,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,db shoulder press,4.0,5.0,19.5,76.18,2022-01-12
118,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,decline press,1.0,10.0,0.0,76.18,2022-01-12
119,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,decline press,2.0,9.0,0.0,76.18,2022-01-12
120,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,decline press,3.0,8.0,0.0,76.18,2022-01-12
121,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,inverted rows,1.0,13.0,0.0,76.18,2022-01-12
122,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,inverted rows,2.0,12.0,0.0,76.18,2022-01-12
123,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,inverted rows,3.0,12.0,0.0,76.18,2022-01-12
124,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,lat pulldown,1.0,15.0,50.0,76.18,2022-01-12
125,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,lat pulldown,2.0,10.0,55.0,76.18,2022-01-12
126,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,lat pulldown,3.0,8.0,55.0,76.18,2022-01-12
127,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,chin ups,1.0,5.5,15.0,76.18,2022-01-12
128,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,chin ups,2.0,5.0,12.5,76.18,2022-01-12
129,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,chin ups,3.0,5.0,10.0,76.18,2022-01-12
130,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0,chin ups,4.0,4.0,10.0,76.18,2022-01-12
132,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,barbell hacksquat,1.0,5.0,105.0,76.755,2022-01-14
133,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,barbell hacksquat,2.0,5.0,105.0,76.755,2022-01-14
134,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,barbell hacksquat,3.0,5.0,105.0,76.755,2022-01-14
135,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,barbell hacksquat,4.0,5.0,105.0,76.755,2022-01-14
136,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,romanian deadlifts,1.0,14.0,90.0,76.755,2022-01-14
137,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,romanian deadlifts,2.0,13.0,90.0,76.755,2022-01-14
138,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,romanian deadlifts,3.0,12.0,90.0,76.755,2022-01-14
139,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,romanian deadlifts,4.0,12.0,90.0,76.755,2022-01-14
140,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,reverse nordics,1.0,18.0,0.0,76.755,2022-01-14
141,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,reverse nordics,2.0,16.0,0.0,76.755,2022-01-14
142,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,reverse nordics,3.0,16.0,0.0,76.755,2022-01-14
143,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,hamstring curls,1.0,6.0,5.0,76.755,2022-01-14
144,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,hamstring curls,2.0,6.0,5.0,76.755,2022-01-14
145,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0,hamstring curls,3.0,6.0,5.0,76.755,2022-01-14
147,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,barbell curls,1.0,11.0,37.5,76.37,2022-01-16
148,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,barbell curls,2.0,9.0,37.5,76.37,2022-01-16
149,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,barbell curls,3.0,8.0,37.5,76.37,2022-01-16
150,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,decline push ups,1.0,7.0,0.0,76.37,2022-01-16
151,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,decline push ups,2.0,6.0,0.0,76.37,2022-01-16
152,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,decline push ups,3.0,6.0,0.0,76.37,2022-01-16
153,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,decline push ups,4.0,5.0,0.0,76.37,2022-01-16
154,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,side lateral,1.0,8.0,3.75,76.37,2022-01-16
155,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,side lateral,2.0,12.0,0.0,76.37,2022-01-16
156,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,side lateral,3.0,14.0,0.0,76.37,2022-01-16
157,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,straight arm pulldown,1.0,15.0,15.0,76.37,2022-01-16
158,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,straight arm pulldown,2.0,12.0,15.0,76.37,2022-01-16
159,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,straight arm pulldown,3.0,11.0,15.0,76.37,2022-01-16
160,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,push ups,1.0,5.0,20.0,76.37,2022-01-16
161,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,push ups,2.0,5.0,17.5,76.37,2022-01-16
162,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,push ups,3.0,5.0,15.0,76.37,2022-01-16
163,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,push ups,4.0,4.0,15.0,76.37,2022-01-16
164,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,wide grip rows,1.0,12.0,45.0,76.37,2022-01-16
165,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,wide grip rows,2.0,13.0,40.0,76.37,2022-01-16
166,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0,wide grip rows,3.0,12.0,40.0,76.37,2022-01-16
169,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,atg split squats,1.0,10.0,20.0,74.94,2022-01-19
170,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,atg split squats,2.0,9.0,20.0,74.94,2022-01-19
171,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,atg split squats,3.0,8.0,20.0,74.94,2022-01-19
172,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,hamstring curls,1.0,9.0,5.0,74.94,2022-01-19
173,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,hamstring curls,2.0,9.0,5.0,74.94,2022-01-19
174,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,hamstring curls,3.0,7.0,5.0,74.94,2022-01-19
175,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,sissy squats,1.0,7.0,0.0,74.94,2022-01-19
176,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,sissy squats,2.0,7.0,0.0,74.94,2022-01-19
177,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,sissy squats,3.0,7.0,0.0,74.94,2022-01-19
178,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,sumo dl,1.0,6.0,100.0,74.94,2022-01-19
179,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,sumo dl,2.0,5.0,100.0,74.94,2022-01-19
180,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,sumo dl,3.0,5.0,100.0,74.94,2022-01-19
181,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0,sumo dl,4.0,5.0,100.0,74.94,2022-01-19
183,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,db shoulder press,1.0,9.0,19.5,74.85,2022-01-21
184,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,db shoulder press,2.0,7.0,19.5,74.85,2022-01-21
185,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,db shoulder press,3.0,5.0,19.5,74.85,2022-01-21
186,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,db shoulder press,4.0,5.0,19.5,74.85,2022-01-21
187,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,decline press,1.0,9.0,0.0,74.85,2022-01-21
188,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,decline press,2.0,8.0,0.0,74.85,2022-01-21
189,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,decline press,3.0,7.0,0.0,74.85,2022-01-21
190,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,inverted rows,1.0,14.0,0.0,74.85,2022-01-21
191,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,inverted rows,2.0,13.0,0.0,74.85,2022-01-21
192,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,inverted rows,3.0,13.0,0.0,74.85,2022-01-21
193,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,lat pulldown,1.0,12.0,55.0,74.85,2022-01-21
194,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,lat pulldown,2.0,10.0,55.0,74.85,2022-01-21
195,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,lat pulldown,3.0,8.0,55.0,74.85,2022-01-21
196,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,chin ups,1.0,6.0,15.0,74.85,2022-01-21
197,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,chin ups,2.0,5.0,15.0,74.85,2022-01-21
198,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,chin ups,3.0,5.0,12.5,74.85,2022-01-21
199,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0,chin ups,4.0,5.0,10.0,74.85,2022-01-21
201,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,barbell hacksquat,1.0,6.0,100.0,77.34,2022-01-23
202,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,barbell hacksquat,2.0,5.0,100.0,77.34,2022-01-23
203,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,barbell hacksquat,3.0,5.0,100.0,77.34,2022-01-23
204,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,barbell hacksquat,4.0,5.0,100.0,77.34,2022-01-23
205,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,romanian deadlifts,1.0,14.0,90.0,77.34,2022-01-23
206,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,romanian deadlifts,2.0,14.0,90.0,77.34,2022-01-23
207,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,romanian deadlifts,3.0,14.0,90.0,77.34,2022-01-23
208,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,reverse nordics,1.0,16.0,0.0,77.34,2022-01-23
209,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,reverse nordics,2.0,12.0,0.0,77.34,2022-01-23
210,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,reverse nordics,3.0,12.0,0.0,77.34,2022-01-23
211,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,hamstring curls,1.0,9.0,5.0,77.34,2022-01-23
212,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,hamstring curls,2.0,7.0,5.0,77.34,2022-01-23
213,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0,hamstring curls,3.0,6.0,5.0,77.34,2022-01-23
215,"89,1",11132000000000.0,18384000000000.0,24120000000000.0,2940000000000.0,barbell curls,1.0,9.0,40.0,76.91,2022-01-25
216,"89,1",11132000000000.0,18384000000000.0,24120000000000.0,2940000000000.0,barbell curls,2.0,8.0,40.0,76.91,2022-01-25
217,"89,1",11132000000000.0,18384000000000.0,24120000000000.0,2940000000000.0,barbell curls,3.0,7.0,40.0,76.91,2022-01-25
